year,S.p.,P.c.
0,0.5,0.5
2,0.6666666666666666,0.3333333333333333
3,0.7903225806451613,0.20967741935483872
4,0.6785714285714286,0.32142857142857145
5,0.6228070175438597,0.37719298245614036
6,0.4424778761061947,0.5575221238938053
7,0.2945205479452055,0.7054794520547946
8,0.2468354430379747,0.7531645569620253
9,0.2605633802816901,0.7394366197183099
10,0.22527472527472528,0.7747252747252747
11,0.1746987951807229,0.8253012048192772
12,0.23563218390804597,0.764367816091954
13,0.23943661971830985,0.7605633802816901
14,0.1987179487179487,0.8012820512820513
15,0.12209302325581395,0.877906976744186
16,0.10404624277456648,0.8959537572254336
17,0.11805555555555555,0.8819444444444444
18,0.05161290322580645,0.9483870967741935
19,0.09876543209876543,0.9012345679012346
